userId,movieId,rating,timestamp
129,1241,5,1422135399
42,25,4,1296792194
498,1253,1,1095112669
102,866,1,1277440100
44,1979,5,1587631548
17,330,3,1091485680
303,12,3,1528048343
339,1800,3,1038808656
215,1509,3,1426042053
200,1561,5,1221602280
365,1562,1,1379089935
199,401,1,1291822548
86,250,2,1517640526
117,1543,2,1495132487
498,827,5,1481219549
372,935,3,1096355770
490,615,1,1413475998
152,995,5,1330511457
131,805,3,1280703339
39,1551,5,1164933123
349,982,5,1540699345
161,16,3,1544023659
382,1474,4,1515820713
34,414,1,1124284044
274,1440,5,1300775290
39,814,2,1073823165
497,477,1,1547631800
272,1464,2,1078483721
414,921,5,1096719187
389,577,2,1474482690
429,1166,2,1441616369
324,146,2,1180788888
432,705,5,1193705934
73,399,2,1534455235
140,187,5,1156100668
485,939,3,1554558903
319,1326,3,1487098188
226,1177,5,1279114499
59,1608,5,1462726004
243,1517,1,1201628778
226,825,2,1127064322
376,1798,4,1557391925
47,727,4,1417788947
378,1777,4,1065489314
178,850,3,1282751135
227,781,2,1158803950
89,329,4,1472991076
98,1291,4,1067001666
123,988,3,1190596290
409,738,4,1255619592
463,40,5,1373605306
226,984,2,1021827621
328,1275,4,1140026769
454,37,2,1326979524
461,593,1,1570828076
224,318,3,1320752313
323,1592,5,1188028967
347,1997,2,1552461573
216,1171,4,1431995232
59,1595,4,1360815372
363,557,5,1454553955
191,1691,4,1565377156
235,557,4,1125616114
31,535,1,1300419743
363,1461,4,1004810833
356,1282,4,1032073692
12,295,1,1361199116
46,1691,5,1566134800
360,1247,5,1038965695
344,365,4,1459478341
467,414,1,1387068897
319,1436,3,1015886372
477,278,5,1089567715
242,1348,5,1090126859
406,401,3,1411814592
22,474,1,1439867601
306,1294,5,1558716130
436,381,2,1281862172
395,1057,2,1295432095
435,459,3,1101475757
226,1309,5,1438918242
397,1513,1,1192455542
285,157,2,1386320159
130,1711,3,1564080074
27,1731,5,1134442423
92,989,5,1461108068
443,84,5,1104003512
453,1411,2,1303837753
380,934,2,1133719871
497,793,5,1269510417
271,492,3,1509482640
93,1333,1,1407090861
50,199,5,1563692479
428,693,5,1501009282
404,1582,3,1005290717
206,455,1,1250880520
166,1968,5,1275775294
214,1014,2,1387680641
344,584,5,1049909831
277,274,3,1429584990
166,1568,5,1030319320
289,102,5,1450671703
41,401,1,1304532525
160,1487,5,1507475029
92,1684,2,1110830503
416,242,2,1076070913
225,801,5,1354371485
417,589,1,1309644390
194,1190,3,1217268209
143,994,1,1449115440
360,1995,4,1135661445
9,774,3,1485091550
416,553,4,1519558407
328,1714,3,1143549523
318,111,5,1344090630
459,1108,5,1418655621
314,22,5,1175037566
297,1724,5,1350598090
466,1014,3,1523056428
243,122,2,1373214563
173,1928,5,1187525407
307,1836,3,1353538596
352,312,5,1350153627
202,755,5,1310089820
438,1983,2,1388490118
332,1841,4,1413370391
404,805,2,1519857515
382,532,5,1185974321
177,947,5,1126248185
117,866,3,1530098753
335,1442,4,1115224489
243,1395,2,1468800124
268,1667,3,1565046823
21,911,2,1111670041
8,100,5,1569257257
428,526,5,1448330564
422,1005,3,1418301429
316,381,5,1063640055
231,1108,3,1266923864
28,66,5,1038785284
449,1448,3,1574278665
195,630,1,1084928457
93,1802,3,1377460487
171,972,4,1469228405
468,1308,1,1458410670
485,1228,3,1404458992
120,1580,3,1490554734
207,1926,2,1480691132
404,1906,5,1528155592
293,1044,1,1524458102
35,198,4,1380343354
325,1185,3,1178554061
12,490,2,1021217066
126,217,5,1506455224
39,1247,2,1093329834
178,919,3,1599797587
151,384,1,1403300480
264,669,3,1507417092
495,86,2,1378452278
119,1242,2,1075230621
114,1169,5,1492241198
232,1905,4,1195465560
302,1988,3,1330020493
53,1328,3,1457813593
446,1244,1,1450773695
454,575,5,1518632111
269,585,1,1166153374
489,971,4,1065244261
494,1668,3,1248446405
482,1618,5,1288603414
339,1389,5,1516293975
310,455,1,1320343694
65,1100,3,1272468110
405,1939,2,1414401952
305,736,5,1062994533
474,1291,3,1513207113
450,942,3,1181950548
282,328,5,1110131828
221,1178,1,1114348335
293,975,3,1463448846
43,944,5,1091199914
493,21,4,1032482294
336,1839,4,1558665778
271,324,5,1436466133
275,1826,4,1504021955
496,373,4,1246058522
157,751,5,1347600519
144,106,3,1097169328
77,644,4,1096555357
459,1287,3,1213808166
397,159,4,1459032887
241,1962,1,1373829493
263,1846,3,1186455415
173,1386,1,1011098252
375,1942,4,1576412373
220,1929,4,1476659721
472,378,2,1085661847
208,1073,2,1131106084
68,50,4,1434540131
60,1191,5,1410321041
403,1700,1,1371980529
69,687,2,1512216171
226,673,2,1411090896
150,1456,5,1459965403
455,1184,3,1029565896
78,1101,5,1105399615
291,263,3,1067951050
487,1304,1,1447147538
68,1242,2,1103769254
109,1006,4,1411246243
387,73,2,1401839173
425,999,1,1081861168
316,1666,3,1300353963
27,160,5,1558685413
200,1586,3,1319261052
58,1283,4,1224793729
215,1196,3,1248177872
291,354,3,1358928499
264,662,5,1579648988
287,1327,2,1153878735
106,446,3,1308406326
400,1036,5,1195206099
3,1680,5,1514661654
348,627,4,1079885559
364,321,4,1090013844
84,1990,2,1162787783
231,800,1,1326707983
460,1574,1,1271051260
142,1828,5,1056318065
237,1602,2,1413698817
475,761,3,1238475082
323,1204,2,1432049347
466,311,1,1155804053
427,143,5,1435616868
244,490,3,1499789865
166,594,5,1549645527
490,1694,5,1171929423
7,948,4,1311505294
405,1699,4,1412745169
206,1812,5,1311301656
450,793,5,1273708320
164,95,3,1456352877
336,822,4,1290045363
387,483,2,1504806516
482,1416,3,1026231747
25,1103,5,1212727739
12,1824,4,1404975707
141,543,3,1119196636
316,447,3,1075968554
254,1154,3,1586094878
499,1541,4,1249811585
382,1803,4,1513238942
56,1487,5,1320532628
329,1180,2,1433988466
263,1104,3,1507028064
260,1796,5,1274750224
101,1383,2,1532128563
420,124,5,1561396798
485,1652,3,1447691234
7,155,5,1333022733
455,1765,2,1047378941
183,386,1,1082430197
230,1615,3,1588881721
376,1447,3,1315681804
213,242,5,1221350225
485,173,4,1521445840
483,497,5,1405260595
256,183,4,1546318845
196,546,5,1260644066
233,1757,2,1150394900
42,397,1,1438728895
17,1144,2,1252902529
60,1584,2,1390290441
242,1850,2,1133875943
277,1308,3,1585614087
443,726,3,1489341006
401,956,5,1568908972
467,581,4,1052492736
87,101,1,1163302599
87,43,3,1223899058
408,1507,1,1036847763
277,232,2,1199868781
228,1675,5,1145353202
28,563,1,1422606084
261,350,5,1295119367
320,138,1,1352924639
368,1244,4,1139521671
256,360,5,1566676417
463,946,1,1023250723
382,836,4,1130146681
119,190,4,1310163209
149,1700,2,1489440001
374,781,3,1089198479
288,1312,3,1550167050
10,783,4,1423189905
183,1993,5,1215143245
124,985,1,1102182899
414,1749,3,1588087981
113,888,5,1283239967
222,1655,4,1036213515
233,943,2,1021654924
149,1662,4,1248305901
135,663,3,1300904703
86,662,5,1169892699
285,1805,1,1565770780
213,463,1,1025137138
407,88,5,1181407402
421,1725,4,1480780802
191,1654,3,1402682909
295,108,3,1047766655
229,1135,1,1249289913
144,1608,4,1564576770
449,1924,4,1557557567
362,1890,2,1236588041
405,1920,5,1493827802
411,1090,5,1145134604
393,500,3,1421112041
90,314,1,1047380429
14,1657,5,1506551672
20,587,5,1395009758
70,1848,3,1535642809
132,1647,5,1130566025
24,1014,3,1008074037
488,871,4,1513632293
430,1796,4,1591303596
20,273,3,1043420892
14,1539,1,1343527759
186,1079,5,1226791287
254,536,3,1236175953
403,159,4,1309701522
305,1343,1,1251474325
152,1133,4,1165850014
356,1728,5,1530267820
228,1374,2,1380535953
319,1652,1,1220619227
251,1327,5,1212358261
301,161,3,1584877315
148,1776,1,1385697869
124,75,5,1376966543
325,1529,5,1362973233
259,973,5,1368551773
254,1654,2,1077647696
365,563,5,1039929257
35,1326,4,1545092164
349,1856,4,1226101296
405,1098,5,1573292101
90,1284,1,1129764119
313,612,4,1473413435
364,188,2,1057563860
414,1432,1,1138242461
342,1244,2,1110004150
220,270,2,1094273359
400,1206,5,1407117528
205,582,1,1442766563
184,1643,4,1266257258
441,1557,5,1093878234
7,1094,4,1093730769
160,1784,3,1549705175
143,944,5,1224445865
154,492,4,1534403213
313,165,5,1028046417
69,1155,4,1280591319
305,1939,5,1466121087
396,445,1,1004151785
327,598,3,1100463184
152,1597,2,1182732842
169,423,4,1186995216
98,966,2,1416262753
65,842,1,1429390959
57,1090,1,1480980111
368,435,5,1195128405
76,344,4,1480761125
444,571,3,1223151807
243,1855,3,1385591327
391,277,1,1344521086
68,1902,4,1077076110
376,744,4,1556549845
116,604,2,1258480807
58,1820,4,1116683198
66,1945,1,1402280322
456,1068,3,1207636706
262,679,3,1309680728
379,1202,1,1100200009
8,1944,2,1032134440
164,485,3,1205789750
393,559,4,1141857895
210,554,3,1248335813
268,386,2,1460331394
365,259,5,1030284261
417,220,2,1488308231
